iter	Passed	Remaining
0	140	140342
1	309	154433
2	449	149460
3	610	151902
4	779	155203
5	880	145802
6	1029	146087
7	1180	146385
8	1330	146500
9	1490	147526
10	1630	146621
11	1789	147372
12	1940	147321
13	2110	148631
14	2271	149171
15	2422	148955
16	2572	148737
17	2712	147982
18	2883	148859
19	3043	149127
20	3194	148909
21	3353	149060
22	3383	143734
23	3543	144116
24	3704	144487
25	3853	144368
26	4024	145038
27	4225	146668
28	4395	147164
29	4564	147601
30	4724	147679
31	4743	143493
32	4903	143692
33	5043	143289
34	5202	143440
35	5343	143084
36	5493	142976
37	5664	143393
38	5814	143266
39	5974	143396
40	6124	143258
41	6274	143125
42	6425	143005
43	6604	143504
44	6784	143979
45	6944	144015
46	7104	144061
47	7285	144486
48	7455	144699
49	7595	144322
50	7746	144150
51	7896	143953
52	8036	143589
53	8184	143386
54	8335	143217
55	8495	143214
56	8655	143202
57	8806	143032
58	8957	142863
59	9117	142842
60	9258	142516
61	9417	142473
62	9578	142455
63	9746	142548
64	9896	142362
65	10047	142180
66	10206	142131
67	10386	142353
68	10545	142294
69	10715	142359
70	10875	142306
71	11036	142243
72	11186	142054
73	11347	142002
74	11518	142055
75	11667	141857
76	11828	141788
77	11999	141842
78	12158	141749
79	12308	141547
80	12458	141345
81	12608	141151
82	12757	140947
83	12928	140978
84	13079	140793
85	13238	140693
86	13397	140601
87	13547	140403
88	13688	140114
89	13848	140025
90	13998	139829
91	14148	139643
92	14297	139443
93	14478	139549
94	14668	139732
95	14847	139812
96	15036	139983
97	15206	139965
98	15376	139944
99	15547	139928
100	15716	139895
101	15877	139785
102	16028	139583
103	16187	139464
104	16338	139265
105	16508	139231
106	16659	139035
107	16819	138918
108	16989	138874
109	17158	138830
110	17299	138552
111	17459	138426
112	17629	138380
113	17798	138326
114	17977	138350
115	18127	138146
116	18287	138018
117	18466	138031
118	18627	137907
119	18778	137712
120	18929	137509
121	19079	137312
122	19220	137045
123	19390	136984
124	19559	136917
125	19710	136721
126	19881	136664
127	20051	136603
128	20212	136471
129	20373	136346
130	20523	136144
131	20693	136076
132	20744	135228
133	20894	135037
134	21043	134836
135	21194	134647
136	21354	134517
137	21505	134329
138	21664	134196
139	21823	134060
140	21983	133928
141	22143	133796
142	22303	133663
143	22483	133651
144	22743	134106
145	22902	133966
146	23073	133887
147	23233	133748
148	23413	133722
149	23613	133808
150	23793	133778
151	24003	133914
152	24173	133823
153	24352	133783
154	24533	133746
155	24712	133700
156	24893	133662
157	25103	133778
158	25293	133785
159	25503	133893
160	25663	133737
161	25833	133634
162	26022	133627
163	26213	133624
164	26413	133668
165	26603	133657
166	26773	133546
167	26943	133435
168	27113	133322
169	27283	133205
170	27452	133087
171	27613	132928
172	27774	132770
173	27945	132660
174	28145	132686
175	28196	132010
176	28385	131983
177	28555	131868
178	28715	131706
179	28884	131584
180	28905	130791
181	29075	130678
182	29216	130436
183	29347	130150
184	29508	129997
185	29538	129270
186	29707	129156
187	29847	128917
188	29867	128162
189	30007	127927
190	30158	127738
191	30307	127546
192	30457	127352
193	30607	127161
194	30777	127055
195	30958	126991
196	31157	127002
197	31337	126933
198	31497	126780
199	31657	126630
200	31818	126483
201	31969	126294
202	32158	126257
203	32339	126187
204	32509	126074
205	32529	125380
206	32699	125269
207	32869	125156
208	33028	125003
209	33189	124855
210	33358	124737
211	33508	124551
212	33677	124433
213	33837	124281
214	33978	124060
215	34129	123877
216	34280	123694
217	34439	123539
218	34589	123354
219	34748	123200
220	34889	122980
221	35039	122796
222	35199	122646
223	35349	122461
224	35549	122449
225	35739	122398
226	35919	122315
227	36088	122193
228	36248	122042
229	36398	121855
230	36558	121702
231	36717	121547
232	36857	121330
233	37037	121242
234	37197	121090
235	37357	120938
236	37508	120754
237	37687	120662
238	37857	120541
239	38007	120358
240	38167	120205
241	38328	120052
242	38497	119927
243	38687	119868
244	38876	119804
245	39047	119682
246	39206	119523
247	39377	119401
248	39528	119220
249	39689	119067
250	39838	118880
251	39988	118695
252	40158	118569
253	40327	118441
254	40477	118259
255	40638	118106
256	40798	117951
257	40969	117825
258	41139	117700
259	41300	117548
260	41479	117446
261	41639	117290
262	41799	117135
263	41968	117003
264	42119	116822
265	42280	116669
266	42440	116511
267	42599	116353
268	42750	116172
269	42910	116017
270	43070	115861
271	43240	115732
272	43400	115576
273	43560	115419
274	43711	115238
275	43862	115058
276	44031	114927
277	44181	114745
278	44332	114564
279	44472	114358
280	44622	114177
281	44792	114046
282	44942	113865
283	45102	113710
284	45253	113531
285	45423	113400
286	45573	113218
287	45732	113059
288	45892	112905
289	46091	112845
290	46271	112738
291	46432	112582
292	46590	112422
293	46741	112243
294	46900	112085
295	47050	111904
296	47211	111748
297	47371	111592
298	47530	111435
299	47670	111231
300	47811	111030
301	47961	110852
302	47981	110373
303	48141	110219
304	48292	110042
305	48443	109867
306	48472	109419
307	48641	109286
308	48801	109132
309	48951	108957
310	49112	108804
311	49263	108631
312	49413	108456
313	49553	108260
314	49703	108086
315	49853	107910
316	49994	107716
317	50155	107566
318	50315	107413
319	50465	107239
320	50615	107065
321	50785	106933
322	50935	106759
323	51095	106607
324	51275	106495
325	51426	106323
326	51585	106167
327	51735	105995
328	51894	105839
329	52054	105686
330	52214	105532
331	52374	105379
332	52524	105206
333	52684	105052
334	52833	104878
335	52992	104723
336	53162	104590
337	53323	104438
338	53474	104267
339	53625	104095
340	53784	103941
341	53933	103767
342	54074	103577
343	54244	103442
344	54394	103270
345	54555	103118
346	54714	102964
347	54884	102828
348	55034	102658
349	55214	102540
350	55394	102425
351	55534	102234
352	55683	102060
353	55844	101907
354	56013	101770
355	56163	101599
356	56343	101482
357	56523	101363
358	56714	101264
359	56885	101129
360	57054	100991
361	57224	100853
362	57384	100699
363	57544	100544
364	57703	100387
365	57863	100233
366	58013	100061
367	58182	99922
368	58333	99751
369	58513	99631
370	58664	99460
371	58843	99337
372	59013	99199
373	59173	99044
374	59324	98873
375	59494	98734
376	59673	98611
377	59833	98455
378	60022	98348
379	60212	98241
